LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Position,Deleted,DriverID,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapType,RoundYear,MedianLapTime,Rank,TrackRound
96.296,2,1,30.916,41.661,23.719,232.0,248.0,276.0,287.0,SOFT,5,False,Red Bull Racing,0 days 01:01:37.489000,Track Clear,1,False,max_verstappen,18.3,49.0,1017.0,False,23.8,33,1.1,Lap,2024_1,96.0275,1.0,2024_1
96.862,2,1,31.166,41.864,23.832,,240.0,277.0,293.0,SOFT,5,False,Ferrari,0 days 01:01:38.476000,Track Clear,2,False,leclerc,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,96.404,2.0,2024_1
96.635,2,1,30.829,42.038,23.768,230.0,253.0,283.0,298.0,SOFT,5,False,Mercedes,0 days 01:01:39.433000,Track Clear,3,False,russell,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,96.6875,4.0,2024_1
96.541,2,1,30.678,41.867,23.996,234.0,257.0,285.0,302.0,SOFT,5,False,Red Bull Racing,0 days 01:01:40.258000,Track Clear,4,False,perez,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,96.0275,1.0,2024_1
97.236,2,1,30.974,42.366,23.896,235.0,244.0,279.0,297.0,SOFT,5,False,Ferrari,0 days 01:01:40.825000,Track Clear,5,False,sainz,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,96.404,2.0,2024_1
98.02,2,1,31.203,42.896,23.921,231.0,236.0,276.0,293.0,SOFT,5,False,Aston Martin,0 days 01:01:41.884000,Track Clear,6,False,alonso,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,97.229,5.0,2024_1
98.01,2,1,31.353,42.618,24.039,231.0,249.0,285.0,298.0,SOFT,5,False,McLaren,0 days 01:01:42.373000,Track Clear,7,False,norris,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,96.674,3.0,2024_1
98.382,2,1,31.429,42.789,24.164,233.0,253.0,285.0,302.0,SOFT,5,False,McLaren,0 days 01:01:42.728000,Track Clear,8,False,piastri,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,96.674,3.0,2024_1
98.273,2,1,31.287,42.893,24.093,,245.0,286.0,301.0,SOFT,5,False,Mercedes,0 days 01:01:43.327000,Track Clear,9,False,hamilton,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,96.6875,4.0,2024_1
98.689,2,1,31.675,42.717,24.297,232.0,243.0,285.0,289.0,SOFT,2,True,Racing Bulls,0 days 01:01:43.690000,Track Clear,10,False,tsunoda,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,97.75800000000001,8.0,2024_1
98.826,2,1,31.419,43.106,24.301,229.0,245.0,286.0,295.0,SOFT,2,True,Williams,0 days 01:01:44.093000,Track Clear,11,False,albon,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,97.864,9.0,2024_1
98.911,2,1,31.591,43.075,24.245,229.0,245.0,288.0,287.0,SOFT,2,True,Haas F1 Team,0 days 01:01:44.554000,Track Clear,12,False,kevin_magnussen,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,97.4665,6.0,2024_1
98.92,2,1,31.452,43.135,24.333,230.0,249.0,289.0,302.0,SOFT,2,True,Kick Sauber,0 days 01:01:45.006000,Track Clear,13,False,zhou,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,97.659,7.0,2024_1
98.481,2,1,31.096,43.005,24.38,231.0,248.0,282.0,308.0,SOFT,2,True,Williams,0 days 01:01:46.126000,Track Clear,14,False,sargeant,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,97.864,9.0,2024_1
99.509,2,1,31.662,43.353,24.494,231.0,243.0,284.0,300.0,SOFT,5,False,Racing Bulls,0 days 01:01:45.873000,Track Clear,15,False,ricciardo,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,97.75800000000001,8.0,2024_1
99.094,2,1,32.005,42.719,24.37,229.0,245.0,284.0,283.0,SOFT,2,True,Alpine,0 days 01:01:46.862000,Track Clear,16,False,ocon,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,97.9255,10.0,2024_1
99.059,2,1,31.86,42.743,24.456,229.0,245.0,284.0,266.0,SOFT,2,True,Alpine,0 days 01:01:47.445000,Track Clear,17,False,gasly,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,97.9255,10.0,2024_1
98.259,2,1,31.351,42.663,24.245,232.0,247.0,287.0,299.0,SOFT,2,True,Kick Sauber,0 days 01:01:48.741000,Track Clear,18,False,bottas,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,97.659,7.0,2024_1
97.987,2,1,31.319,42.653,24.015,228.0,241.0,278.0,287.0,SOFT,2,True,Aston Martin,0 days 01:01:50.419000,Track Clear,19,False,stroll,18.3,49.0,1017.1,False,23.8,89,1.5,Lap,2024_1,97.229,5.0,2024_1
96.753,3,1,30.999,41.966,23.788,231.0,243.0,276.0,290.0,SOFT,6,False,Red Bull Racing,0 days 01:03:13.785000,Track Clear,1,False,max_verstappen,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,96.0275,1.0,2024_1
96.406,3,1,30.367,42.202,23.837,232.0,250.0,278.0,318.0,SOFT,6,False,Mercedes,0 days 01:03:16.068000,Track Clear,2,False,russell,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,96.6875,4.0,2024_1
98.062,3,1,31.223,42.856,23.983,234.0,256.0,283.0,296.0,SOFT,6,False,Ferrari,0 days 01:03:15.338000,Track Clear,3,False,leclerc,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,96.404,2.0,2024_1
97.297,3,1,30.596,42.478,24.223,231.0,245.0,284.0,315.0,SOFT,6,False,Red Bull Racing,0 days 01:03:16.799000,Track Clear,4,False,perez,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,96.0275,1.0,2024_1
97.08,3,1,31.049,42.179,23.852,233.0,246.0,280.0,300.0,SOFT,6,False,Ferrari,0 days 01:03:18.061000,Track Clear,5,False,sainz,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,96.404,2.0,2024_1
97.787,3,1,31.112,42.476,24.199,229.0,254.0,275.0,318.0,SOFT,6,False,McLaren,0 days 01:03:20.383000,Track Clear,6,True,norris,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,96.674,3.0,2024_1
99.046,3,1,32.068,42.719,24.259,228.0,249.0,282.0,290.0,SOFT,6,False,Aston Martin,0 days 01:03:19.904000,Track Clear,7,False,alonso,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,97.229,5.0,2024_1
98.258,3,1,31.147,42.993,24.118,,259.0,288.0,318.0,SOFT,6,False,McLaren,0 days 01:03:21.110000,Track Clear,8,False,piastri,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,96.674,3.0,2024_1
98.303,3,1,31.062,43.099,24.142,231.0,246.0,286.0,311.0,SOFT,6,False,Mercedes,0 days 01:03:21.600000,Track Clear,9,False,hamilton,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,96.6875,4.0,2024_1
98.431,3,1,30.989,43.073,24.369,227.0,238.0,284.0,311.0,SOFT,3,True,Racing Bulls,0 days 01:03:22.379000,Track Clear,10,False,tsunoda,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,97.75800000000001,8.0,2024_1
98.507,3,1,31.002,43.081,24.424,,244.0,286.0,312.0,SOFT,3,True,Williams,0 days 01:03:22.919000,Track Clear,11,False,albon,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,97.864,9.0,2024_1
98.399,3,1,30.969,43.118,24.312,230.0,245.0,289.0,320.0,SOFT,3,True,Haas F1 Team,0 days 01:03:23.465000,Track Clear,12,False,kevin_magnussen,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,97.4665,6.0,2024_1
98.582,3,1,31.044,43.084,24.454,224.0,246.0,286.0,322.0,SOFT,3,True,Kick Sauber,0 days 01:03:23.926000,Track Clear,13,False,zhou,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,97.659,7.0,2024_1
98.707,3,1,31.105,43.155,24.447,229.0,245.0,285.0,,SOFT,3,True,Williams,0 days 01:03:24.607000,Track Clear,14,False,sargeant,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,97.864,9.0,2024_1
98.76,3,1,30.965,43.32,24.475,,242.0,284.0,313.0,SOFT,6,False,Racing Bulls,0 days 01:03:25.382000,Track Clear,15,False,ricciardo,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,97.75800000000001,8.0,2024_1
98.771,3,1,31.255,43.007,24.509,,246.0,284.0,295.0,SOFT,3,True,Alpine,0 days 01:03:25.956000,Track Clear,16,False,ocon,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,97.9255,10.0,2024_1
98.744,3,1,31.254,42.848,24.642,,245.0,283.0,302.0,SOFT,3,True,Alpine,0 days 01:03:26.504000,Track Clear,17,False,gasly,18.3,49.0,1017.0,False,23.8,32,1.0,Lap,2024_1,97.9255,10.0,2024_1
