LapTime,LapNumber,Stint,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Position,Deleted,DriverID,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,LapType,RoundYear,MedianLapTime,Rank,TrackRound
96.556,2,1,28.287,30.597,37.672,198.0,264.0,253.0,290.0,INTERMEDIATE,2,True,Mercedes,0 days 00:05:49.596000,Track Clear,1,True,russell,16.3,75.0,996.3,True,20.6,96,1.1,Lap,2024_9,87.0935,2.0,2024_9
97.672,2,1,28.815,31.274,37.583,189.0,263.0,263.0,294.0,INTERMEDIATE,2,True,Red Bull Racing,0 days 00:05:50.866000,Track Clear,2,False,max_verstappen,16.3,75.0,996.3,True,20.6,96,1.1,Lap,2024_9,88.452,7.0,2024_9
98.203,2,1,28.599,31.697,37.907,197.0,264.0,263.0,291.0,INTERMEDIATE,2,True,McLaren,0 days 00:05:52.595000,Track Clear,3,False,norris,16.3,75.0,996.3,True,20.6,96,1.1,Lap,2024_9,86.391,1.0,2024_9
98.591,2,1,29.244,31.939,37.408,194.0,263.0,264.0,293.0,INTERMEDIATE,2,True,McLaren,0 days 00:05:54.331000,Track Clear,4,False,piastri,16.3,75.0,996.3,True,20.6,96,1.1,Lap,2024_9,86.391,1.0,2024_9
96.793,2,1,28.804,30.757,37.232,199.0,267.0,265.0,292.0,WET,2,True,Haas F1 Team,0 days 00:05:57.700000,Track Clear,5,False,kevin_magnussen,16.3,75.0,996.3,True,20.6,96,1.1,Lap,2024_9,88.298,6.0,2024_9
100.628,2,1,29.527,32.032,39.069,184.0,264.0,256.0,285.0,INTERMEDIATE,2,True,Aston Martin,0 days 00:05:55.162000,Track Clear,6,False,alonso,16.3,75.0,996.3,True,20.6,96,1.1,Lap,2024_9,87.472,3.0,2024_9
100.379,2,1,29.522,32.393,38.464,185.0,264.0,244.0,289.0,INTERMEDIATE,2,True,Mercedes,0 days 00:05:56.033000,Track Clear,7,False,hamilton,16.3,75.0,996.3,True,20.6,96,1.1,Lap,2024_9,87.0935,2.0,2024_9
101.606,2,1,30.528,32.411,38.667,185.0,261.0,263.0,300.0,INTERMEDIATE,2,True,Racing Bulls,0 days 00:05:57.178000,Track Clear,8,False,ricciardo,16.3,75.0,996.3,True,20.6,96,1.1,Lap,2024_9,88.23150000000001,5.0,2024_9
100.966,2,1,30.732,32.111,38.123,171.0,265.0,264.0,302.0,INTERMEDIATE,2,True,Aston Martin,0 days 00:05:58.955000,Track Clear,9,False,stroll,16.3,75.0,996.3,True,20.6,96,1.1,Lap,2024_9,87.472,3.0,2024_9
98.64,2,1,29.843,31.382,37.415,200.0,260.0,244.0,279.0,WET,2,True,Haas F1 Team,0 days 00:06:02.008000,Track Clear,10,False,hulkenberg,16.3,75.0,996.3,True,20.6,96,1.1,Lap,2024_9,88.298,6.0,2024_9
